Group1_Delta,Group2_Delta,Group3_Delta,Group4_Delta,Cluster
0.0,0.13,0.0,0.13,0
0.0,0.11,0.0,0.11,0
0.0,0.1,0.0,0.1,0
0.0,0.06,0.0,0.06,0
0.0,0.01,0.0,0.01,0
0.0,-0.18,0.0,-0.18,4
0.0,-0.24,0.0,-0.24,1
0.0,0.41,0.0,0.41,2
0.0,-0.3,0.0,-0.3,1
0.0,-0.3,0.0,-0.3,1
0.0,0.59,0.0,0.59,5
0.0,-0.18,0.0,-0.18,4
0.0,-0.22,0.0,-0.22,1
0.0,-0.21,0.0,-0.21,1
0.0,-0.18,0.0,-0.18,4
0.0,0.62,0.0,0.62,5
0.0,-0.15,0.0,-0.15,4
0.0,-0.09,0.0,-0.09,4
0.0,-0.03,0.0,-0.03,4
0.0,0.1,0.0,0.1,0
0.0,0.18,0.0,0.18,0
0.0,0.21,0.0,0.21,2
0.0,-0.5,0.0,-0.5,3
0.0,0.48,0.0,0.48,5
0.0,0.46,0.0,0.46,5
0.0,-0.32,0.0,-0.32,1
0.0,-0.24,0.0,-0.24,1
0.0,-0.21,0.0,-0.21,1
0.0,0.65,0.0,0.65,5
0.0,0.06,0.0,0.06,0
0.0,0.17,0.0,0.17,0
0.0,-0.36,0.0,-0.36,1
0.0,0.5,0.0,0.5,5
0.0,-0.01,0.0,-0.01,4
0.0,-0.45,0.0,-0.45,3
0.0,0.39,0.0,0.39,2
0.0,-0.05,0.0,-0.05,4
0.0,-0.48,0.0,-0.48,3
0.0,0.39,0.0,0.39,2
0.0,-0.18,0.0,-0.18,4
0.0,0.5,0.0,0.5,5
0.0,-0.12,0.0,-0.12,4
0.0,-0.08,0.0,-0.08,4
0.0,0.02,0.0,0.02,0
0.0,0.09,0.0,0.09,0
0.0,-1.0,0.0,-1.0,3
0.0,0.16,0.0,0.16,0
0.0,0.18,0.0,0.18,0
0.0,0.28,0.0,0.28,2
0.0,-0.25,0.0,-0.25,1
0.0,-0.05,0.0,-0.05,4
0.0,0.15,0.0,0.15,0
0.0,-0.45,0.0,-0.45,3
0.0,-0.41,0.0,-0.41,1
0.0,0.53,0.0,0.53,5
0.0,0.63,0.0,0.63,5
0.0,-0.13,0.0,-0.13,4
0.0,-0.14,0.0,-0.14,4
0.0,-0.2,0.0,-0.2,1
0.0,0.6,0.0,0.6,5
0.0,0.66,0.0,0.66,5
0.0,-0.12,0.0,-0.12,4
0.0,-0.13,0.0,-0.13,4
0.0,-0.21,0.0,-0.21,1
0.0,0.4,0.0,0.4,2
0.0,0.27,0.0,0.27,2
0.0,-0.47,0.0,-0.47,3
0.0,0.37,0.0,0.37,2
0.0,0.32,0.0,0.32,2
0.0,0.25,0.0,0.25,2
0.0,-0.7000000000000001,0.0,-0.7000000000000001,3
0.0,-0.24,0.0,-0.24,1
0.0,-0.34,0.0,-0.34,1
0.0,0.42,0.0,0.42,5
0.0,0.37,0.0,0.37,2
0.0,0.3,0.0,0.3,2
0.0,-0.65,0.0,-0.65,3
0.0,-0.6900000000000001,0.0,-0.6900000000000001,3
0.0,0.02,0.0,0.02,0
0.0,-0.09,0.0,-0.09,4
0.0,-0.24,0.0,-0.24,1
0.0,0.48,0.0,0.48,5
0.0,0.4,0.0,0.4,2
0.0,-0.56,0.0,-0.56,3
0.0,0.12,0.0,0.12,0
0.0,0.11,0.0,0.11,0
0.0,0.11,0.0,0.11,0
0.0,0.03,0.0,0.03,0
0.0,0.64,0.0,0.64,5
0.0,0.5,0.0,0.5,5
0.0,-0.38,0.0,-0.38,1
0.0,-0.48,0.0,-0.48,3
0.0,0.11,0.0,0.11,0
0.0,0.02,0.0,0.02,0
0.0,-0.03,0.0,-0.03,4
0.0,-0.08,0.0,-0.08,4
0.0,0.64,0.0,0.64,5
0.0,-0.41,0.0,-0.41,1
0.0,-0.61,0.0,-0.61,3
0.0,-0.05,0.0,-0.05,4
0.0,-0.05,0.0,-0.05,4
0.0,-0.03,0.0,-0.03,4
0.0,-0.07,0.0,-0.07,4
0.0,0.52,0.0,0.52,5
0.0,-0.38,0.0,-0.38,1
0.0,-0.38,0.0,-0.38,1
0.0,-0.35,0.0,-0.35,1
0.0,0.43,0.0,0.43,5
0.0,0.38,0.0,0.38,2
0.0,0.36,0.0,0.36,2
0.0,-0.53,0.0,-0.53,3
0.0,-0.03,0.0,-0.03,4
0.0,-0.23,0.0,-0.23,1
0.0,0.53,0.0,0.53,5
0.0,0.58,0.0,0.58,5
0.0,-0.15,0.0,-0.15,4
0.0,-0.1,0.0,-0.1,4
0.0,-0.14,0.0,-0.14,4
0.0,0.39,0.0,0.39,2
0.0,-0.53,0.0,-0.53,3
0.0,-0.02,0.0,-0.02,4
0.0,-0.07,0.0,-0.07,4
0.0,0.6,0.0,0.6,5
0.0,-0.24,0.0,-0.24,1
0.0,-0.14,0.0,-0.14,4
0.0,0.67,0.0,0.67,5
0.0,-0.13,0.0,-0.13,4
0.0,-0.09,0.0,-0.09,4
0.0,-0.14,0.0,-0.14,4
0.0,0.61,0.0,0.61,5
0.0,0.59,0.0,0.59,5
0.0,-0.31,0.0,-0.31,1
0.0,-0.44,0.0,-0.44,3
0.0,0.22,0.0,0.22,2
0.0,0.23,0.0,0.23,2
0.0,0.21,0.0,0.21,2
0.0,-0.6900000000000001,0.0,-0.6900000000000001,3
0.0,0.17,0.0,0.17,0
0.0,0.21,0.0,0.21,2
0.0,0.31,0.0,0.31,2
0.0,0.41,0.0,0.41,2
0.0,-0.38,0.0,-0.38,1
0.0,-0.4,0.0,-0.4,1
0.0,0.47,0.0,0.47,5
0.0,0.52,0.0,0.52,5
0.0,-0.26,0.0,-0.26,1
0.0,-0.31,0.0,-0.31,1
0.0,0.55,0.0,0.55,5
0.0,0.55,0.0,0.55,5
0.0,-0.33,0.0,-0.33,1
0.0,-0.33,0.0,-0.33,1
0.0,-0.27,0.0,-0.27,1
0.0,0.58,0.0,0.58,5
0.0,-0.19,0.0,-0.19,1
0.0,-0.1,0.0,-0.1,4
0.0,-0.04,0.0,-0.04,4
0.0,-0.02,0.0,-0.02,4
0.0,-0.03,0.0,-0.03,4
0.0,0.0,0.0,0.0,4
0.0,0.01,0.0,0.01,0
0.0,-0.03,0.0,-0.03,4
0.0,-0.07,0.0,-0.07,4
0.0,0.03,0.0,0.03,0
0.0,0.12,0.0,0.12,0
0.0,0.18,0.0,0.18,0
0.0,0.14,0.0,0.14,0
0.0,-0.65,0.0,-0.65,3
0.0,0.24,0.0,0.24,2
0.0,0.27,0.0,0.27,2
0.0,0.22,0.0,0.22,2
0.0,0.2,0.0,0.2,2
0.0,0.29,0.0,0.29,2
0.0,-0.4,0.0,-0.4,1
0.0,-0.38,0.0,-0.38,1
0.0,0.25,0.0,0.25,2
0.0,-0.56,0.0,-0.56,3
0.0,0.27,0.0,0.27,2
0.0,0.23,0.0,0.23,2
0.0,-0.68,0.0,-0.68,3
0.0,0.05,0.0,0.05,0
0.0,0.05,0.0,0.05,0
0.0,0.08,0.0,0.08,0
0.0,0.04,0.0,0.04,0
0.0,-0.06,0.0,-0.06,4
0.0,-0.09,0.0,-0.09,4
0.0,-0.08,0.0,-0.08,4
0.0,0.66,0.0,0.66,5
0.0,-0.14,0.0,-0.14,4
0.0,-0.14,0.0,-0.14,4
0.0,-0.12,0.0,-0.12,4
0.0,0.65,0.0,0.65,5
0.0,-0.13,0.0,-0.13,4
0.0,-0.12,0.0,-0.12,4
0.0,-0.14,0.0,-0.14,4
0.0,0.39,0.0,0.39,2
0.0,-0.47,0.0,-0.47,3
0.0,0.2,0.0,0.2,2
0.0,0.24,0.0,0.24,2
0.0,-0.47,0.0,-0.47,3
0.0,0.3,0.0,0.3,2
0.0,0.33,0.0,0.33,2
0.0,-0.29,0.0,-0.29,1
0.0,-0.23,0.0,-0.23,1
0.0,0.41,0.0,0.41,2
0.0,-0.43,0.0,-0.43,3
0.0,0.35,0.0,0.35,2
0.0,0.36,0.0,0.36,2
0.0,-0.44,0.0,-0.44,3
0.0,0.05,0.0,0.05,0
0.0,-0.08,0.0,-0.08,4
0.0,0.11,0.0,0.11,0
0.0,0.17,0.0,0.17,0
0.0,0.18,0.0,0.18,0
0.0,-0.61,0.0,-0.61,3
0.0,-0.02,0.0,-0.02,4
0.0,-0.16,0.0,-0.16,4
0.0,0.4,0.0,0.4,2
0.0,0.24,0.0,0.24,2
0.0,0.16,0.0,0.16,0
0.0,0.1,0.0,0.1,0
0.0,0.02,0.0,0.02,0
0.0,0.03,0.0,0.03,0
0.0,0.1,0.0,0.1,0
0.0,-0.64,0.0,-0.64,3
0.0,0.1,0.0,0.1,0
0.0,0.1,0.0,0.1,0
0.0,-0.64,0.0,-0.64,3
0.0,0.38,0.0,0.38,2
0.0,0.47,0.0,0.47,5
0.0,-0.27,0.0,-0.27,1
0.0,-0.28,0.0,-0.28,1
0.0,0.44,0.0,0.44,5
0.0,-0.23,0.0,-0.23,1
0.0,-0.23,0.0,-0.23,1
0.0,0.51,0.0,0.51,5
0.0,0.51,0.0,0.51,5
0.0,-0.25,0.0,-0.25,1
0.0,-0.24,0.0,-0.24,1
0.0,0.4,0.0,0.4,2
0.0,-0.4,0.0,-0.4,1
0.0,-0.38,0.0,-0.38,1
0.0,-0.34,0.0,-0.34,1
0.0,0.71,0.0,0.71,5
0.0,0.02,0.0,0.02,0
0.0,0.01,0.0,0.01,0
0.0,-0.03,0.0,-0.03,4
0.0,-0.02,0.0,-0.02,4
0.0,0.06,0.0,0.06,0
0.0,0.03,0.0,0.03,0
0.0,-0.01,0.0,-0.01,4
0.0,0.0,0.0,0.0,4
0.0,0.14,0.0,0.14,0
0.0,0.12,0.0,0.12,0
0.0,0.07,0.0,0.07,0
0.0,0.1,0.0,0.1,0
0.0,-0.64,0.0,-0.64,3
0.0,0.08,0.0,0.08,0
0.0,0.01,0.0,0.01,0
0.0,-0.01,0.0,-0.01,4
0.0,0.12,0.0,0.12,0
0.0,0.2,0.0,0.2,2
0.0,0.23,0.0,0.23,2
0.0,0.28,0.0,0.28,2
0.0,-0.45,0.0,-0.45,3
0.0,0.23,0.0,0.23,2
0.0,0.17,0.0,0.17,0
0.0,0.0,0.0,0.0,4
0.0,0.01,0.0,0.01,0
0.0,-0.01,0.0,-0.01,4
0.0,-0.03,0.0,-0.03,4
0.0,-0.04,0.0,-0.04,4
0.0,-0.14,0.0,-0.14,4
0.0,0.48,0.0,0.48,5
0.0,0.46,0.0,0.46,5
0.0,-0.38,0.0,-0.38,1
0.0,-0.4,0.0,-0.4,1
0.0,-0.42,0.0,-0.42,1
0.0,0.4,0.0,0.4,2
0.0,0.4,0.0,0.4,2
0.0,-0.44,0.0,-0.44,3
0.0,0.18,0.0,0.18,0
0.0,0.24,0.0,0.24,2
0.0,-0.45,0.0,-0.45,3
0.0,-0.42,0.0,-0.42,1
0.0,0.22,0.0,0.22,2
0.0,-0.59,0.0,-0.59,3
0.0,0.26,0.0,0.26,2
0.0,0.33,0.0,0.33,2
0.0,0.28,0.0,0.28,2
0.0,-0.56,0.0,-0.56,3
0.0,0.04,0.0,0.04,0
0.0,-0.02,0.0,-0.02,4
0.0,0.15,0.0,0.15,0
0.0,0.29,0.0,0.29,2
0.0,0.41,0.0,0.41,2
0.0,-0.28,0.0,-0.28,1
0.0,-0.19,0.0,-0.19,1
0.0,0.68,0.0,0.68,5
0.0,-0.04,0.0,-0.04,4
0.0,-0.02,0.0,-0.02,4
0.0,0.12,0.0,0.12,0
0.0,0.23,0.0,0.23,2
0.0,0.28,0.0,0.28,2
0.0,-0.5,0.0,-0.5,3
0.0,0.11,0.0,0.11,0
0.0,0.1,0.0,0.1,0
0.0,-0.54,0.0,-0.54,3
0.0,0.29,0.0,0.29,2
0.0,0.29,0.0,0.29,2
0.0,-0.5,0.0,-0.5,3
0.0,0.31,0.0,0.31,2
0.0,0.4,0.0,0.4,2
0.0,-0.36,0.0,-0.36,1
0.0,-0.4,0.0,-0.4,1
0.0,0.25,0.0,0.25,2
0.0,-0.55,0.0,-0.55,3
0.0,0.24,0.0,0.24,2
0.0,0.23,0.0,0.23,2
0.0,0.18,0.0,0.18,0
0.0,0.1,0.0,0.1,0
0.0,-0.03,0.0,-0.03,4
0.0,0.75,0.0,0.75,5
0.0,0.05,0.0,0.05,0
0.0,0.14,0.0,0.14,0
0.0,0.19,0.0,0.19,2
0.0,-0.58,0.0,-0.58,3
0.0,0.03,0.0,0.03,0
0.0,-0.03,0.0,-0.03,4
0.0,-0.21,0.0,-0.21,1
0.0,0.28,0.0,0.28,2
0.0,-0.54,0.0,-0.54,3
0.0,0.26,0.0,0.26,2
0.0,0.27,0.0,0.27,2
0.0,-0.5,0.0,-0.5,3
0.0,0.33,0.0,0.33,2
0.0,0.44,0.0,0.44,5
0.0,-0.23,0.0,-0.23,1
0.0,-0.23,0.0,-0.23,1
0.0,-0.24,0.0,-0.24,1
0.0,-0.25,0.0,-0.25,1
0.0,0.63,0.0,0.63,5
0.0,-0.09,0.0,-0.09,4
0.0,-0.06,0.0,-0.06,4
0.0,-0.02,0.0,-0.02,4
0.0,0.16,0.0,0.16,0
0.0,0.23,0.0,0.23,2
0.0,0.27,0.0,0.27,2
0.0,-0.41,0.0,-0.41,1
0.0,0.34,0.0,0.34,2
0.0,0.3,0.0,0.3,2
0.0,0.28,0.0,0.28,2
0.0,-0.5,0.0,-0.5,3
0.0,0.27,0.0,0.27,2
0.0,0.27,0.0,0.27,2
0.0,-0.51,0.0,-0.51,3
0.0,0.24,0.0,0.24,2
0.0,0.22,0.0,0.22,2
0.0,0.24,0.0,0.24,2
0.0,-0.54,0.0,-0.54,3
0.0,0.19,0.0,0.19,2
0.0,0.17,0.0,0.17,0
0.0,0.18,0.0,0.18,0
0.0,-0.65,0.0,-0.65,3
0.0,0.15,0.0,0.15,0
0.0,0.11,0.0,0.11,0
0.0,-0.65,0.0,-0.65,3
0.0,0.18,0.0,0.18,0
0.0,0.2,0.0,0.2,2
0.0,-0.65,0.0,-0.65,3
0.0,0.07,0.0,0.07,0
0.0,0.09,0.0,0.09,0
0.0,0.12,0.0,0.12,0
0.0,0.02,0.0,0.02,0
0.0,0.05,0.0,0.05,0
0.0,0.09,0.0,0.09,0
0.0,0.09,0.0,0.09,0
0.0,0.02,0.0,0.02,0
0.0,0.04,0.0,0.04,0
0.0,0.06,0.0,0.06,0
0.0,-0.02,0.0,-0.02,4
0.0,-0.08,0.0,-0.08,4
0.0,-0.12,0.0,-0.12,4
0.0,-0.06,0.0,-0.06,4
0.0,-0.02,0.0,-0.02,4
0.0,-0.01,0.0,-0.01,4
0.0,-0.06,0.0,-0.06,4
0.0,-0.23,0.0,-0.23,1
0.0,-0.29,0.0,-0.29,1
0.0,-0.27,0.0,-0.27,1
0.0,0.52,0.0,0.52,5
0.0,0.41,0.0,0.41,2
0.0,-0.51,0.0,-0.51,3
0.0,0.26,0.0,0.26,2
0.0,0.29,0.0,0.29,2
0.0,0.31,0.0,0.31,2
0.0,-0.51,0.0,-0.51,3
0.0,-0.48,0.0,-0.48,3
0.0,0.35,0.0,0.35,2
0.0,0.28,0.0,0.28,2
0.0,-0.58,0.0,-0.58,3
0.0,0.15,0.0,0.15,0
0.0,0.12,0.0,0.12,0
0.0,0.13,0.0,0.13,0
0.0,0.07,0.0,0.07,0
0.0,0.06,0.0,0.06,0
0.0,0.05,0.0,0.05,0
0.0,0.14,0.0,0.14,0
0.0,0.16,0.0,0.16,0
0.0,-0.58,0.0,-0.58,3
0.0,0.13,0.0,0.13,0
0.0,0.22,0.0,0.22,2
0.0,0.14,0.0,0.14,0
0.0,0.02,0.0,0.02,0
0.0,-0.09,0.0,-0.09,4
0.0,-0.09,0.0,-0.09,4
0.0,-0.07,0.0,-0.07,4
0.0,-0.23,0.0,-0.23,1
0.0,0.2,0.0,0.2,2
0.0,0.08,0.0,0.08,0
0.0,-0.27,0.0,-0.27,1
0.0,0.08,0.0,0.08,0
0.0,0.01,0.0,0.01,0
0.0,-0.67,0.0,-0.67,3
0.0,0.07,0.0,0.07,0
0.0,0.01,0.0,0.01,0
0.0,0.08,0.0,0.08,0
0.0,0.08,0.0,0.08,0
0.0,0.11,0.0,0.11,0
0.0,0.14,0.0,0.14,0
0.0,-0.61,0.0,-0.61,3
0.0,0.08,0.0,0.08,0
0.0,0.03,0.0,0.03,0
0.0,0.06,0.0,0.06,0
0.0,0.1,0.0,0.1,0
0.0,0.14,0.0,0.14,0
0.0,0.15,0.0,0.15,0
0.0,-0.71,0.0,-0.71,3
0.0,0.06,0.0,0.06,0
0.0,0.06,0.0,0.06,0
0.0,0.06,0.0,0.06,0
0.0,-0.01,0.0,-0.01,4
0.0,-0.03,0.0,-0.03,4
0.0,-0.03,0.0,-0.03,4
0.0,-0.05,0.0,-0.05,4
0.0,-0.14,0.0,-0.14,4
0.0,-0.19,0.0,-0.19,1
0.0,-0.22,0.0,-0.22,1
0.0,0.49,0.0,0.49,5
0.0,-0.35,0.0,-0.35,1
0.0,-0.41,0.0,-0.41,1
0.0,0.27,0.0,0.27,2
0.0,0.15,0.0,0.15,0
0.0,0.03,0.0,0.03,0
0.0,-0.06,0.0,-0.06,4
0.0,-0.06,0.0,-0.06,4
0.0,-0.05,0.0,-0.05,4
0.0,0.6900000000000001,0.0,0.6900000000000001,5
0.0,-0.14,0.0,-0.14,4
0.0,-0.14,0.0,-0.14,4
0.0,-0.07,0.0,-0.07,4
0.0,0.04,0.0,0.04,0
0.0,-0.06,0.0,-0.06,4
0.0,-0.15,0.0,-0.15,4
0.0,0.65,0.0,0.65,5
0.0,-0.05,0.0,-0.05,4
0.0,0.01,0.0,0.01,0
0.0,0.05,0.0,0.05,0
0.0,0.05,0.0,0.05,0
0.0,-0.08,0.0,-0.08,4
0.0,-0.18,0.0,-0.18,4
0.0,0.33,0.0,0.33,2
0.0,-0.53,0.0,-0.53,3
0.0,0.18,0.0,0.18,0
0.0,0.21,0.0,0.21,2
0.0,-0.49,0.0,-0.49,3
0.0,-0.43,0.0,-0.43,3
0.0,0.36,0.0,0.36,2
0.0,0.34,0.0,0.34,2
0.0,-0.5,0.0,-0.5,3
